"name",number
"Games Played",79
"Points Per Game",30.1
"Assists Per Game",6.7
"Rebounds Per Game",5.4
"Defensive Rebounds Per Game",4.6
"Offensive Rebounds Per Game",0.9
"Field Goal Percentage",50.4
"Free Throws Attempted",5.1
"Free Throw Percentage",90.8
"Three Pointers Attempted",11.2
"Three Pointer Percentage",45.4
"Three Pointers Made",5.1
"Steals Per Game",2.1
"Blocks Per Game",0.2
"Plus/Minus",12.9
"Turnovers Per Game",3.3
"Field Goals Attempted",20.2
"Field Goals Made",10.2
"Minutes Per Game",34.2
"Offensive Rating",116.7
"Defensive Rating",98.3
"Assist/TO Ratio",2.01
"Effective Field Goal Percentage",63
"True Shooting Percentage",59
"Assist Percentage",31.5
"Player Impact Estimate",19.7
